Date,Close,Open
2010-10-26,135,135
2010-10-27,135,135
2010-10-28,135,135
2010-10-29,135,135
2010-11-01,135,135
2010-11-02,128.25,135
2010-11-03,128.25,128.25
2010-11-04,128.25,128.25
2010-11-05,128.25,""
2010-11-08,128.25,128.25
2010-11-09,134.66,128.25
2010-11-10,127.94,134.66
2010-11-11,133,127.94
2010-11-12,126.35,133
2010-11-15,126.35,126.35
2010-11-18,124.35,124.35
2010-11-19,121.15,124.35
2010-11-22,121.15,121.15
2010-11-23,121.15,121.15
2010-11-24,121.15,121.15
2010-11-25,121.15,121.15
2010-11-26,121.15,121.15
2010-11-29,121.15,121.15
2010-11-30,124.01,121.15
2010-12-01,124.01,124.01
2010-12-02,124.01,124.01
2010-12-03,123.11,124.01
2010-12-06,123.5,123.11
2010-12-07,123.5,123.5
2010-12-08,123.5,123.5
2010-12-09,123.5,123.5
2010-12-10,123.49,123.5
2010-12-13,122,123.49
2010-12-14,123,122
2010-12-15,124.5,123
2010-12-16,120.25,124.5
2010-12-17,122.5,120.25
2010-12-21,120,120
2010-12-22,120,120
2010-12-23,120,120
2010-12-24,120,120
2010-12-29,120,120
2010-12-30,120,120
2010-12-31,120,120
2011-01-04,120,120
2011-01-05,126,120
2011-01-06,127,126
2011-01-07,126.5,127
2011-01-10,126.5,126.5
2011-01-11,126.5,126.5
2011-01-12,126.5,126.5
2011-01-13,130.02,126.5
2011-01-14,130.02,130.02
2011-01-17,130.08,130.02
2011-01-18,130,130.08
2011-01-19,130,130
2011-01-20,130,130
2011-01-21,131.5,130
2011-01-24,131.5,131.5
2011-01-25,132.51,131.5
2011-01-26,132.51,132.51
2011-01-27,132.51,132.51
2011-01-28,130.25,132.51
2011-01-31,129.11,130.25
2011-02-01,129,129.11
2011-02-02,129,129
2011-02-03,129,129
2011-02-04,126.5,129
2011-02-07,126.5,126.5
2011-02-08,122,126.5
2011-02-09,128,122
2011-02-10,128,128
2011-02-11,128,128
2011-02-14,128,128
2011-02-16,128,128
2011-02-17,128,128
2011-02-18,128,128
2011-02-21,128,128
2011-02-22,128,128
2011-02-23,128,128
2011-02-24,124,128
2011-02-25,126,124
2011-02-28,126,126
2011-03-01,124.99,126
2011-03-02,124.99,124.99
2011-03-03,124.99,124.99
2011-03-04,124,124.99
2011-03-07,124,124
2011-03-08,125,124
2011-03-09,125,125
2011-03-10,125,125
2011-03-11,125,125
2011-03-14,125,125
2011-03-15,125,125
2011-03-16,125,125
2011-03-17,120.1,125
2011-03-18,124.89,120.1
2011-03-21,124.89,124.89
2011-03-22,124.89,124.89
2011-03-23,124.89,124.89
2011-03-24,124.89,124.89
2011-03-25,124.89,124.89
2011-03-28,124,124.89
2011-03-29,124,124
2011-03-30,124,124
2011-03-31,124,124
2011-04-01,125.5,124
2011-04-04,125.5,125.5
2011-04-05,125.5,125.5
