Symbol,Name
NB,NIGERIAN BREWERIES PLC
NBC,NIGERIAN BOTTLING CO
NCR,AT & T GLOBAL INFORMATION SOLUTIONS PLC
NEIMETH,NEIMETH INTERNATIONAL PHARMACEUTICALS
NEM,N.E.M INSURANCE CO. PLC
NESF,NIGERIA ENERGY SECTOR FUND
NESTLE,NESTLE FOODS PLC
NEWGOLD,NEWGOLD EXCHANGE TRADED FUND
NEWPAK,NEWPAK PLC
NFINSURE,NFI INSURANCE PLC
NIDBFUND,NIGERIA INTERNATIONAL DEBT FUND PLC
NIG-GERMAN,NIGERIAN-GERMAN CHEMICALS PLC
NIGERCEM,THE NIGERIAN CEMENT
NIGERINS,NIGER INSURANCE CO. PLC
NIGROPES,NIGERIAN ROPES
NIGSEWING,"NIGERIAN SEWING MACHINE MAN, PLC"
NIWICABLE,NIGERIAN WIRE & CABLE
NNFM,NORTHERN NIGERIA FLOUR MILLS PLC
NPFMCRFBK,F MICRO FINANCE BANK PLC
NSLTECH,NATIONAL SPORTS LOTTERY PLC
OANDO,OANDO PLC
OASISINS,OASIS INSURANCE PLC
OCEANIC,OCEANIC BANK INTERNATIONAL
OKITIPUPA,OKITIPUPA OIL PALM
OKOMUOIL,THE OKOMU OIL PALM
OLUGLASS,OLUWA GLASS CO. PLC
OMATEK,OMATEK VENTURES PLC
ONDORT2012,OANDO RIGHTS ISSUE 2012
PAINTCOM,PAINTS AND COATINGS MANUFACTURES PLC
PHARMDEKO,PHAMA-DEKO PLC
PNG,PINNACLE POINT GROUP PLC
POLYPROD,POLY PRODUCTS NIGERIA PLC
PORTPAINT,PORTLAND PAINTS AND PRODUCTS NIG. PLC
PREMBREW,PREMIER BREWRIES PLC
PREMPAINTS,PREMIER PAINTS PLC
PRESCO,PRESCO PLC
PRESTIGE,PRESTIGE ASSURANCE CO. PLC
PZ,P.Z. INDUSTRIES PLC
RAKUNITY,RAK UNITY PETROLEUM PLC
REDSTAREX,RED STAR EXPRESS PLC
REGALINS,REGENCY ALLIANCE INSURANCE COMPANY PLC
RESORTSAL,RESORT SAVINGS AND LOANS PLC
RESOURCE,RESOURCERY PLC
ROADS,ROADS NIGERIA
ROKANA,ROKANA INDUSTRIES PLC
ROYALEX,ROYAL EXCHANGE ASSURANCE
RTBRISCOE,R.T BRISCOE NIGERIA
SCOA,SCOA NIGERIA PLC
SIMCAPVAL,SIM CAPITAL ALLIANCE VALUE FUND
SKYEBANK,SKYE BANK PLC
SKYESHELT,SKYE SHELTER FUND
SMURFIT,SMART PRODUCTS NIGERIA PLC
SOVRENINS,SOVEREIGN TRUST INSURANCE PLC
STACO,STANDARD TRUST ASSURANCE PLC
STANBIC,STANBIC IBTC HOLDINGS PLC
STARCOMMS,STARCOMMS PLC
STDINSURE,STANDARD ALLIANCE INSURANCE PLC
STERLNBANK,STERLING BANK PLC
STUDPRESS,"STUDIO,PRESS(NIG) PLC"
TANTALIZER,TANTALIZER PLC
THOMASWY,THOMAS WYATT PLC
TOTAL,TOTALFINAELF NIGERIA PLC
TOURIST,TOURIST COMPANY OF NIGERIA PLC
TRANSCORP,TRANSNATIONAL CORPORATION OF NIG PLC
TRANSEXPR,TRANS-NATIONWIDE EXPRESS PLC
TRIPPLEG,TRIPPLE GEE & CO PLC
TROPICPET,TROPICAL PETROLEUM PLC
UAC-PROP,UAC PROPERTY DEVELOPMENT CO. PLC
UACN,U A C NIGERIA PLC
UBA,UNITED BANK FOR AFRICA
UBCAP,UBA CAPITAL PLC
UBN,UNION BANK OF NIGERIA
UHOMREIT,UNION HOMES REAL ESTATE INVESTMENT TRUST
UNHOMES,UNION HOMES SAVINGS AND LOANS LTD
UNIC,UNIC INSURANCE PLC
UNILEVER,UNILEVER NIGERIA PLC
UNIONDAC,UNION DIAGNOSTIC & CLINICAL SERVICES PLC
UNIONDICON,UNION DICON SALT PLC
UNIONVENT,UNION VENTURES & PETROLEUM PLC
UNITYBNK,UNITY BANK PLC
UNITYKAP,UNITY KAPITAL ASSURANCE PLC
UNIVINSURE,UNIVERSAL INSURANCE COMPANY PLC
UNTL,UNITED NIGERIA TEXTILES PLC
UPL,UNIVERSITY PRESS PLC
UTC,UTC NIGERIA PLC
VANLEER,VAN LEER CONTAINERS (NIG) PLC
VITAFOAM,VITAFOAM NIGERIA PLC
VONO,VONO PRODUCTS PLC
WAGLASS,WEST AFRICAN GLASS INDUSTRIES PLC
WAPCO,WEST AFRICAN PORTLAND CEMENT
WAPIC,WEST AFRICAN PROVINCIAL INSURANCE PLC
WEMABANK,WEMA BANK
WTN,WTN PLC
ZENITHBANK,ZENITH INTERNATIONAL BANK PLC
