Close,Dividend
2003-03-10,0.18
2005-03-18,0.16
2006-03-18,0.16
2007-03-13,0.18
2008-05-02,0.22
2008-05-30,0.22
2009-06-12,0.26
2010-06-01,0.30
2011-05-24,0.36
