Close,Dividend
2002-11-05,3.75
2003-10-31,4.75
2004-10-29,5.25
2005-10-28,3
2006-09-20,4
2007-10-19,4.5
2009-10-02,7.50
2010-10-07,8.25
2011-10-04,10.00
2012-10-08,8.00
